JP 1,JP 2,JP 3,JP 4,JP 5,JP 6,TY
90,67.1,10,0,12.9,180,1615.2
90,65.9,10,0,14.1,180,1604.5
90,64.7,10,0,15.3,180,1593.1
90,63.5,10,0,16.5,180,1581.1
90,62.3,10,0,17.7,180,1568.4
90,61.1,10,0,18.9,180,1555
90,59.9,10,0,20.1,180,1541
90,58.7,10,0,21.3,180,1526.4
90,57.5,10,0,22.5,180,1511.2
90,56.2,10,0,23.8,180,1495.3
90,55,10,0,25,180,1478.8
90,53.8,10,0,26.2,180,1461.7
90,52.6,10,0,27.4,180,1444
90,51.4,10,0,28.6,180,1425.8
90,50.2,10,0,29.8,180,1407
90,49,10,0,31,180,1387.5
90,47.8,10,0,32.2,180,1367.5
90,46.6,10,0,33.4,180,1346.9
90,45.3,10,0,34.7,180,1325.8
90,44.1,10,0,35.9,180,1304.2
90,42.9,10,0,37.1,180,1259.3
90,40.5,10,0,39.5,180,1236.1
90,39.3,10,0,40.7,180,1212.5
90,38.1,10,0,41.9,180,1188.3
90,36.9,10,0,43.1,180,1138.5
90,34.4,10,0,45.6,180,1112.9
90,33.2,10,0,46.8,180,1060.5
90,30.8,10,0,49.2,180,1033.6
90,29.6,10,0,50.4,180,978.6
90,28.4,10,0,51.6,180,950.6
90,27.2,10,0,52.8,180,922.2
90,26,10,0,54,180,893.4
90,23.5,10,0,56.5,180,864.2
90,22.3,10,0,57.7,180,834.8
90,21.1,10,0,58.9,180,805
90,19.9,10,0,60.1,180,774.9
90,18.7,10,0,61.3,180,744.5
90,17.5,10,0,62.5,180,713.9
90,16.3,10,0,63.7,180,683
90,15.1,10,0,64.9,180,652.1
90,13.9,10,0,66.1,180,621.5
90,12.7,10,0,67.3,180,591.2
90,11.6,10,0,68.4,180,561.5
90,10.5,10,0,69.5,180,532.5
90,9.5,10,0,70.5,180,504.5
90,8.5,10,0,71.5,180,477.5
90,7.5,10,0,72.5,180,451.7
90,6.6,10,0,73.4,180,427.3
90,5.7,10,0,74.3,180,404.4
90,4.9,10,0,75.1,180,383
90,4.2,10,0,75.8,180,363.2
90,3.5,10,0,76.5,180,345.2
90,2.9,10,0,77.1,180,328.7
90,2.4,10,0,77.6,180,314.1
90,1.9,10,0,78.1,180,301.1
90,1.5,10,0,78.5,180,289.9
